activity,sector
Transfert d'argent via réseaux mobiles,finance-mobile-money
Achat et vente de produits GSM,commerce-telephonie-electronique
Achat et vente de produits alimentaires,commerce-alimentaire
Achat et vente d'articles de quincaillerie,commerce-construction-quincaillerie
Achat et vente de produits agroalimentaires,commerce-alimentaire
Achat et vente de produits tropicaux,commerce-agricole
Achat et vente de produits agricoles,commerce-agricole
Achat et vente de produits cosmétiques et parfumerie,commerce-mode-beaute
"Achat et vente de vêtements, prêt à porter",commerce-mode-beaute
Achat et vente de boissons,commerce-alimentaire
Achat et vente d'accessoires de portables,commerce-telephonie-electronique
"Toutes activités de rénovation, de construction de bâtiments et travaux publics, BTP, génie civil, exécution d'ouvrages d'arts",btp-construction
Achat et vente de produits vivriers,commerce-alimentaire
Achat et vente de matériels informatiques,commerce-telephonie-electronique
Quincaillerie générale,commerce-construction-quincaillerie
"Achat et vente d'accessoires de couture, mercerie",commerce-mode-beaute
"Achat et vente de fournitures de bureau,librairie et papeterie",commerce-maison-loisirs
"Bâtiments et travaux publics, assainissement",btp-construction
Coiffure et soins de beauté,services-beaute
Achat et vente d'appareils électroménagers,commerce-telephonie-electronique
Achat et vente de fournitures de bureau,commerce-maison-loisirs
Achat et vente de compléments alimentaires,commerce-alimentaire
Achat et vente de tissus,commerce-mode-beaute
Activités informatiques et activités connexes,informatique-numerique
Achat et vente de produits halieutiques poissonnerie,commerce-alimentaire
Achat et vente de fournitures scolaires,commerce-maison-loisirs
Achat et vente de friperie,commerce-mode-beaute
Bar restaurant,restauration-hotellerie-tourisme
Agro Business,agriculture-elevage-peche
Achat et vente de matériels électriques et électroniques,commerce-telephonie-electronique
Achat et vente de pièces détachées d'automobiles,commerce-auto-moto
Achat et vente de textile et d'effets vestimentaires,commerce-mode-beaute
Achat et vente de chaussures,commerce-mode-beaute
Achat et vente de produits congelés,commerce-alimentaire
Entretien et nettoyage,services-divers
Gestion immobilière,immobilier
Transformation agroalimentaire,industrie-transformation
Achat et vente d'ustensiles de cuisine,commerce-maison-loisirs
Achat et vente de produits forestiers,commerce-agricole
"Abattage, transformation et conservation des viandes",industrie-transformation
Transport et logistique,transport-logistique
Achat et vente d'acajou,commerce-agricole
Achat et vente de téléphones et accessoires,commerce-telephonie-electronique
Achat et vente de matériels électriques,commerce-telephonie-electronique
Achat et vente de mêches,commerce-mode-beaute
"Commerce de détail en magasin spécialisé de textiles, habillement, chaussures et articles en cuir",commerce-mode-beaute
Transports routiers de marchandises,transport-logistique
Achat et vente de charbon,energie-eau
"Commerce de détail en magasin spécialisé de quincaillerie, peintures, verre et articles techniques en verre",commerce-construction-quincaillerie
Achat et vente de bijoux,commerce-mode-beaute
Exercice de toutes prestations de services liées au secteur des technologies informatiques et de la communication,informatique-numerique
"Location de véhicules, transport et activités connexes",transport-logistique
Achat et vente de motocycles et accessoires,commerce-auto-moto
Achat et vente d'articles de plomberie,commerce-construction-quincaillerie
Transfert d'argent,finance-mobile-money
Achat et vente d'articles de décoration,commerce-maison-loisirs
Exercice de toutes activités et de toutes prestations de services en Informatique,informatique-numerique
Esthétique,services-beaute
Prestations de services informatiques,informatique-numerique
Achat et distribution de produits brassicols,commerce-alimentaire
Maintenance de matériels informatiques et d'équipements de bureau,informatique-numerique
Achat et vente de matériels de bureau,commerce-maison-loisirs
Maintenance informatiques et réseau,informatique-numerique
Distribution de gaz domestique,energie-eau
Production agroalimentaire,industrie-transformation
Achat et vente d'huile végétale,commerce-alimentaire
"Immobilier, locations et services aux entreprises",immobilier
Conseils en communication et en marketing,services-professionnels
Achat et vente de mobiliers,commerce-maison-loisirs
"Commerce de gros de textiles, habillement et chaussures",commerce-mode-beaute
Vente de produits agroalimentaires,commerce-alimentaire
"Activités comptables et d'audit, conseil fiscal",services-professionnels
